DST name ,Short Title,Decision Phase,Decision Step,Decision Task ,Decision Phase Type ,Description,Website,Citation
Species Potential Habitat Tool,SppPotentialHabitat,Restoration & Adaptation,Plan,Analyze-Prioritize,Non-Stasis,"Pairs with Seedlot Selection Tool, but allows users to look at how habitat suitability will change with climate change",https://specieshabitattool.org/spht/,"St. Clair, J. B., Richardson, B. A., Stevenson‐Molnar, N., Howe, G. T., Bower, A. D., Erickson, V. J., ... & Wang, T. (2022). Seedlot Selection Tool and Climate‐Smart Restoration Tool: Web‐based tools for sourcing seed adapted to future climates. Ecosphere, 13(5), e4089."
"Success Stories, Forests and Rangelands (elsewhere, Fire Adapted Communities Case Studies)",Success Stories,Restoration & Adaptation,Plan,Case Study,Non-Stasis,"Filterable list of success stories. Forests and Rangelands highlights land management effort successes and project information including wildland fire fighting, landscape restoration and rehabilitation, fuels reduction, community assistance, and related land management activities.",https://forestsandrangelands.gov/success/index.shtml,
Template for Assessing Climate Change Impacts and Management Options (TACCIMO) ,TACCIMO,Restoration & Adaptation,Plan,Database-Mapping,Non-Stasis,"A web-based tool that provides land owners, managers, and planners with the most current climate change science available. It has a variety of features that allow a customizable user experience, including a literature search and review function, a downscaled geospatial climate modeling and mapping function, and a report generation function. ",https://taccimo.info/tbl_sector_list.php,
Threat-based Land Management ,Threat-based Land Management ,Restoration & Adaptation,M&E,M&E,Non-Stasis,Sagebrush ecosystem management - this guide (32 pp.) presents a simplified framework to help land managers assess and monitor the threats of encroachment by juniper and invasive grasses (vegetation state transition) at large scales.,https://catalog.extension.oregonstate.edu/pnw722,
Topofire Regeneration Mapper,Topofire Regeneration Mapper,Restoration & Adaptation,Plan,Analyze-Prioritize,Non-Stasis,Post-fire regeneration and planting ,https://orthanc.dbs.umt.edu/regenmapper/,"Holden, Z. A., Warren, D., Davis, K., Jungck, E., Maneta, M., Dobrowski, S., & Archer, V. (2022). REGEN MAPPER: A web-based tool for predicting postfire conifer regeneration and prioritizing reforestation efforts in the western United States. In: Jain, Theresa B.; Schuler, Thomas M.[comp.]. Foundational concepts in silviculture with emphasis on reforestation and early stand improvement-2022 National Silviculture Workshop. Proc. RMRS-P-80. Fort Collins, CO: US Department of Agriculture, Forest Service, Rocky Mountain Research Station. 2 p. (Vol. 80)."
TWIG Viewer,TWIG Viewer,Restoration & Adaptation,Plan,Database-Mapping,Non-Stasis,Needed. ,https://reshapewildfire.org/twig/layers,Needed. 
USFS silvicultural stocking recommendations - upland forests NE OR & SE WA,StockingRecc_upland_WA-OR,Restoration & Adaptation,Implement,Recommend,Non-Stasis,Guide for number of trees per acre and species to plant after harvest or fire based on forest type.,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd1165065.pdf,"Powell, David C. 2024. Suggested stocking levels for upland forests of northeastern Oregon and southeastern Washington. Tech. Pub. F14-SO-TP-. Pendleton, OR: USDA Forest Service, Pacific Northwest Region, Umatilla National Forest. 289 p."
Values at Risk (VAR) Calculation Tool,VAR Calc Tool,Emergency Stabilization,Assess,Measure,Stasis,"A tool (Excel spreadsheet) to support post-fire values-at-risk assessment. This method (framework) standardizes and simplifies the complex valuation task in the context of post-fire assessment and treatment recommendation, addressing the problem that standard VAR approaches exceed the time and expertise available to most BAER/ESR.",https://doi.org/10.2737/RMRS-GTR-205,"Calkin, David E.; Hyde, Kevin D.; Robichaud, Peter R.; Jones, J. Greg; Ashmun, Louise E.; Loeffler Dan. 2007. Assessing post-fire values-at-risk with a new calculation tool. Gen. Tech. Rep. RMRS-GTR-205. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 32 p."
VisiRule,VisiRule,Restoration & Adaptation,Plan,Analyze-Prioritize,Non-stasis,"Tactical decision model to identify high priority management activities for restoration. An interactive, web-based decision tool, designed to help land managers test for specific landscape properties in a project area that would allow forest restoration projects following wildfire (e.g., ecologically sound post-fire logging during the first winter after wildfire) to go forward under an expedited NEPA process, greatly reducing the time and effort required by the standard NEPA process, while ensuring that potential environmental impacts are adequately addressed.",https://visiruleexamples.com/visirule/a2e6c4d8729f4d82882b9211aff3f9/webflex.exe?webflex=nepafuels2a,
Watershed Erosion Prediction Project (WEPP),WEPP,Emergency Stabilization,Plan,Predict-Project-Scenario,Stasis,"WEPP is a computer simulation that predicts soil erosion, replacing the Universal Soil Loss Equation (USLE). The WEPP model is a complex computer program that describes the processes that lead to erosion. One variant, FS WEPP, is a set of interfaces designed to allow users to quickly evaluate erosion and sediment delivery potential from forest roads. ",https://forest.moscowfsl.wsu.edu/fswepp/,
Wildfire Risk to Communities,Wildfire Risk-Communities,Restoration & Adaptation,Engage,Partic-Data,Non-stasis,"a website with interactive maps, charts, and resources to help communities understand, explore, and reduce wildfire risk. Help identify where wildfire hazard mitigation and planning efforts are most needed, prioritize mitigation efforts in the states or counties with the greatest risk, and find resources to help mitigate and manage risk. ",https://wildfirerisk.org/explore/,Needed. 
