No.,Short Title,Tool Name,Website,Description,Region or Habitat ,"Spatial scale: Stand, Project, Fireshed, Region",Deprecated,Decision Phase,Decision Step,Decision Task ,Secondary Classif: Decision Stage,Secondary Classif: Step,Secondary Classif: Task,Citation ,Full Citation ,Secondary internet location,Developer/ Credits,How applied?,Tool Development Opportunities,Related Publications - 1,Related Publications - 2,Related Publications - 3,Related Publications - 4,Notes
34,LANFIRE,LANFIRE Program,https://www.landfire.gov/,"GIS Mapping layers for Vegetation, Fuel, Fire, Disturbance, Topography.",U.S. and territories,Fireshed,No,Restore & Adapt,Plan,Information: Database & Mapping,n/a,n/a,n/a,www,https://www.landfire.gov/,n/a,"USDA, USFS, DOI, USGS, The Nature Conservancy, USDA Forest Service Rocky Mountain Research Station,  USDA Forest Service Forest Inventory and Analysis","Used to support wildfire and land management decisions, such as fuels treatment planning, wildfire risk assessment, prescribed fire planning, and habitat and vegetation management.",,"Strand, Eva K., KoriBlankenship, CoreyGucker, MarkBrunson, and EugénieMontBlanc. 2025. “Changing Fire Regimes in the Great Basin USA.” Ecosphere16(2): e70203. https://doi.org/10.1002/ecs2.70203","McKerrow, A., Davidson, A., Rubino, M., Faber-Langendoen, D., & Dockter, D. (2021). Quantifying the Representation of Plant Communities in the Protected Areas of the U.S.: An Analysis Based on the U.S. National Vegetation Classification Groups. Forests, 12(7), 864. https://doi.org/10.3390/f12070864","Sohl, T., Schleeweis, K., Herold, N., Lang, M., Puma, I. P. L., Wickham, J., Mueller, R., Rigge, M., Dewitz, J., Brown, J. F., Ingebritsen, J., Ellenwood, J., Wengert, E., Rowe, J., Flanagan, P., Kachergis, E., Garthwaite, I., & Wu, Z. (2025). An interagency perspective on improving consistency and transparency of land use and land cover mapping (No. 1549). U.S. Geological Survey. https://doi.org/10.3133/cir1549","Vanderhoof MK, Menick CE, Picotte JJ, Robertson KM, Nowell HK, Matechik C, Hawbaker TJ. (2025) Modelling and mapping burn severity of prescribed and wildfires across the southeastern United States (2000–2022). International Journal of Wildland Fire 34, WF24137. https://doi.org/10.1071/WF24137",n/a
35,M3P Tool,"Mapping, Prioritization, and Public Participation (M3P) Tool",https://research.fs.usda.gov/firelab/products/multimedia/webinars/mapping-prioritization-and-public-participation-m3p-tool,"Provides land managers with an understanding of public engagement, communication, and relations to connect public participation to wildfire planning.","U.S., broadly applicable","Project, Fireshed",To be released,Restore & Adapt,Engage,Engagement - Data Tools,Restore & Adapt,Engage,Engagement - Facilitate Tools ,www,https://research.fs.usda.gov/firelab/products/multimedia/webinars/mapping-prioritization-and-public-participation-m3p-tool,n/a,"USFS, RMRS FFS",Surveying public perception of landscapes (ecosystem services) pre-fire to facilitate post-fire management.,,n/a,n/a,n/a,n/a,n/a
36,MC2,MC2 Dynamic Vegetation Model ,https://databasin.org/articles/8e01bd5f101c4863a0d6a69d58c9298b/,"Dynamic Vegation Model to predict changes in vegetation cover, carbon and nitrogen cycling, water budget due to climate change.",Not specified - anywhere,Fireshed,No,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,Bachelet 2015,Bachelet D (2015) MC2 Dynamic Global Vegetation Model. https://databasin.org/articles/8e01bd5f101c4863a0d6a69d58c9298b/,n/a,Dominique Bachelet,"Assess wildfire occurrence, impacts, and emissions to prioritize fuel treatments, evaluate post-fire succession to guide restoration strategies, and support long-term planning for fire-prone landscapes under climate change.",,"Bachelet, D., and D. Turner (editors). 2015. Global Vegetation Dynamics: Concepts and Applications in the MC1 Model. AGU Geophysical Monographs 214. 210pp","Bachelet, D., K. Ferschweiler, T.J. Sheehan, B.M. Sleeter and Z. Zhu. 2015. Projected carbon stocks in the conterminous US with land use and variable fire regimes. Global Change Biology 21(12): 4548-4560. DOI: 10.1111/gcb.13048.","Peterman, W., D. Bachelet, K. Ferschweiler, and T. Sheehan. 2014. Soil depth affects simulated carbon and water in the MC2 dynamic global vegetation model. Ecological Modelling 294:84-93.",n/a,n/a
37,MTBS,Monitoring Trends in Burn Severity (MTBS) Program,https://www.mtbs.gov/,"Fire and burn severity mapping. An interagency program whose goal is to consistently map the burn severity and extent of large fires across Alllands of the United States from 1984 to present. This includes Allfires 1,000 acres or greater in the western United States and 500 acres or greater in the eastern Unites States. ","Continental U.S., Alaska, Hawaii and Puerto Rico.",Fireshed,No,Restore & Adapt,Monitor & Evaluate,Monitor & Evaluate,Rehab,Assess,Measurement,www,https://www.mtbs.gov/,https://burnseverity.cr.usgs.gov/products/mtbs,"USFS, USDA, DOI, USGS","Developed primarily to monitor the effectiveness of national fire management policies, MTBS data are also is used to assess the immediate and long term effects of fires on the landscape, as a consistently derived source of fire disturbance data used by national land cover and monitoring programs, as a supplemental information tool to inform operational fire suppression decisions by wildfire managers, and provides a rich and unprecedented dataset for analysis and application by the research community.",,"Finco, Mark; Quayle, Brad; Zhang, Yuan; Lecker, Jennifer; Megown, Kevin A.; Brewer, C. Kenneth. 2012. Monitoring Trends and Burn Severity (MTBS): Monitoring wildfire activity for the past quarter century using landsat data. In: Morin, RandAllS.; Liknes, Greg C., comps. Moving from status to trends: Forest Inventory and Analysis (FIA) symposium 2012; 2012 December 4-6; Baltimore, MD. Gen. Tech. Rep. NRS-P-105. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northern Research Station. [CD-ROM]: 222-228.",n/a,n/a,n/a,n/a
38,NCCV,National Climate Change Viewer,https://toolkit.climate.gov/tool/national-climate-change-viewer,"Provides downscaled climate projections for temperature and precipitation, and vizualization of maps, time series, and summaries of historical and future predictions.","U.S. (State, County, or Hydrologic Unit Level Climate Projections)",Project,No,Restore & Adapt,Plan,Information: Database & Mapping,Rehab,Plan,Analyze & Prioritize,www,https://www.usgs.gov/tools/national-climate-change-viewer-nccv,https://www.usgs.gov/tools/national-climate-change-viewer-nccv,USGS,"Supports climate adaptation planning by assessing changes in temperature, precipitation, and water balance to inform watershed management, forestry, and conservation decisions.",,n/a,n/a,n/a,n/a,n/a
39,NECI,National Extension Climate Initiative,https://www.montana.edu/communitydevelopment/NationalExtensionClimateInitiative.html,"A collaborative network that connects climate change education, outreach, and research across extension programs to support communication, knowledge exchange, coordination, and collaborative project development.",U.S.,"Project, Fireshed",No,Restore & Adapt,Engage,Engagement - Facilitate Tools ,n/a,n/a,n/a,www,https://www.montana.edu/communitydevelopment/NationalExtensionClimateInitiative.html,n/a,"Paul Lachapelle (Montana State University), Western Rural Development Center","Supports coordination of climate change education and outreach across programs, enabling shared resources, collaborative grand development, and sharing climate adaption guidance to land managers and communities.",,n/a,n/a,n/a,n/a,n/a
40,NextGen-FireSeverityMapping,Next Generation Fire Severity Mapping,https://www.frames.gov/NextGen-FireSeverity,"Geospatial products depicting the probability of high-severity fire, if it were to occur, for several ecoregion in the contiguous western US.",Western U.S.,"Fireshed, Region",No,Restore & Adapt,Plan,Analyze and Prioritize ,Restore & Adapt,Assess,Information: Database & Mapping,Parks et al. 2018,"Parks SA, Holsinger LM, Panunto MH, Jolly WM, Dobrowski SZ, and Dillon GK (2018) High-severity fire: evaluating its key drivers and mapping its probability across western US forests. Environmental Research Letters. 13: 044037.",n/a,"Sean Parks, Aldo Leopold Wilderness Research Institute
USFS, Rocky Mountain Research Station ",Provides maps of high-severity fire probability that can help prioritize fuel treatments and support landscape-scale wildfire risk reduction and forest management.,,n/a,n/a,n/a,n/a,n/a
41,NIACS,Northern Institute of Applied Climate Science,https://niacs.org/,"Software, online tools, data, and applied resources developed through collaboration to support climate adaptation and carbon management.",Not specified,Project,No,Restore & Adapt,All,Knowledge Share ,n/a,n/a,n/a,www,https://niacs.org/,n/a,USFS,"Supports climate adaptation and carbon management by providing technical guidance and training to inform ecosystem planning, guide management actions, and improve resilience under changing climate conditions.",,n/a,n/a,n/a,n/a,n/a
42,NW FireSci Consortium,Northwest Fire Science Consortium Tools Database,https://www.nwfirescience.org/tools,Website with large list of fire management related tools.,"Northwestern U.S., with some tools for U.S. and beyond","Stand, Project, Fireshed, Region",No,Restore & Adapt,All,Knowledge Share ,n/a,n/a,n/a,www,https://www.nwfirescience.org/tools,n/a,"Oregon State University, University of Oregon, Ecossystem Workforce Program, USFS, Washington State University",Search and understand available tools for manageing natural resources across the northwestern US.,Tools can be grouped into categories and linked to the appropriate spatial scale and extent for usage ,n/a,n/a,n/a,n/a,n/a
43,NWCC,Northwest Interagency Coordination Center (NWCC),https://gacc.nifc.gov/nwcc,"Geographic Area Coordination Center for the Northwest Region serves as the focal point for interagency resource coordination, logistics support, aviation support and predictive services for Allstate and federal agencies involved in wildland fire management and suppression in the region. ","Oregon, Wahsington",Fireshed,No,Emrg Stablz,Implement,Recommend,Emrg Stablz,Assess / Plan,Analyze & Prioritize,www,https://gacc.nifc.gov/nwcc,n/a,"BLM, USFS, USFWS, USDA,  NPS, ODF, WA DNR (Cooperating agencies include the: Bureau of Land Management, US Forest Service, Oregon Dept of Forestry, US Fish and Wildlife Service, Bureau of Indian Affairs, Washington Dept. of Natural Resources and the National Park Service)","Coordination, fire suppression, information portal of what occurs at a fire; Improved coordination of various management agencies.",Information on how to best use Allthe various tools/information on this website (very resourceful!),n/a,n/a,n/a,n/a,n/a
44,OR-Explorer,Oregon Explorer,https://hub.oregonexplorer.info,"Natural resources digital library, a geospatial application programming interface for analyzing, displaying, and downloading environmental data.",Oregon,Project,No,Restore & Adapt,Assess,Information: Database & Mapping,Restore & Adapt,Plan,Catalogue / Library,www,https://hub.oregonexplorer.info,n/a,Oregon State University and Institute for Natural Resources.,"Find, retrieve geospatial data, overlay several data sources, access additional (non-spatial) data, such as photos, charts, tables, etc. to improve management decisions.  ",Expand to Western US,n/a,n/a,n/a,n/a,n/a
45,PFI,Post-fire Soil Environmental Index,https://www.fs.usda.gov/rm/pubs_other/rmrs_2012_jain_t001.pdf,The PFI is a categorization of post-fire soil status using a literature review. Five broad classes were identified in Jain et. al. (2012) indicating the % soil organic matter left post-fire; broad classes were subdivided based on post-fire mineral soil colors.,Temperate mixed conifer forests; best suited for western USA,"Stand, Project",No,Rehab,Assess,Measurement,Rehab,Plan,Analyze & Prioritize,Jain et al. 2012,"Jain TB, Pilliod DS, Graham RT, Lentile LB, Sandquist JE (2012) Index for Characterizing Post-Fire Soil Environments in Temperate Coniferous Forests. Forests, 3(3), 445-466. https://doi.org/10.3390/f3030445",n/a,"USFS, USGS, University of the South, Sewanee","Identifying PFI could help land managers understand the nutrient levels of the soil and plan reforestation efforts accordingly. E.g., if the PFI indicates that the soils are nutrient-poor, then soil ammendments such as mulch may important in restoration.","Expand to other types of forests, shrublands, etc.",n/a,n/a,n/a,n/a,n/a
46,PFS Decision Tree,Post-fire Salvage Decision Tree,n/a,Prototype decision tree designed to designed to assess the feasibility of a streamlined NEPA process in support of potential post-fire salvage projects.,U.S. ,Project,No,Emrg Stablz,Plan,Analyze & Prioritize,Restore & Adapt,Assess / Plan,Analyze & Prioritize,n/a,n/a,n/a,"Paul Hessburg (USFS), PNW Research Station ","Recommendation - ecological restoration vs. fiber recovery, generated within the short time window appropriate to salvage operations.",,n/a,n/a,n/a,n/a,n/a
47,Phenology VT,Phenology Visualization Tool,https://www.usanpn.org/data/visualizations,Visualization of observed phenology data.,U.S.,Project,No,Restore & Adapt,Assess,Information: Database & Mapping,Restore & Adapt,Monitor & Evaluate ,Monitor & Evaluate ,www,https://www.usanpn.org/data/visualizations,n/a,National Phenology Network,"Tracks plant and animal activity timing with variables such as latitude, temperature, and precipitation, which can inform restoration timing and wildlife monitoring.",,n/a,n/a,n/a,n/a,n/a
48,Planning guidebook,A guidebook to spatial datasets for conservation planning under climate change in the Pacific Northwest,https://pubs.er.usgs.gov/publication/70211311,Spatial datasets for conservation planning  under climate change in the Pacific Northwest.,Pacific Northwest,Fireshed,No,Restore & Adapt,Plan,Catalogue / Library,Restore & Adapt ,All,Catalogue / Library,Cartwright 2020,Cartwright JM (2020) A guidebook to spatial datasets for conservation planning under climate change in the Pacific Northwest. U.S. Geological Survey. https://doi.org/10.5066/P92L1H7O.,https://www.cakex.org/guide/using-spatial-datasets-conservation-planning-under-climate-change-pacific-northwest,"Cartwright J.M., USGS, NWCASC","Provides information on spatial datasets that can be applied to climate projections, changes in hydrologic conditions, vegetation and fire-regime shifts, animal habitat changes, species movements, and topographic and soil conditions relevant to climate change. ",Datasets could be combined and made available throught a data portal,n/a,n/a,n/a,n/a,n/a
49,Postfire Restoration,Postfire Restoration Framework for National Forests in California,https://doi.org/10.2737/PSW-GTR-270,"Science-based framework to guide postfire restoration on national forests in California. Framework is based on a set of restoration ecology principles and presents a five-step, structured process to develop a restoration portfolio that can inform monitoring and planning. Also, presentation of five tools/ tool types (as appendices).","California (forest, sagebrush-steppe, chaparral ecosystems)",Project,No,Restore & Adapt,All,Framework / Strategy / Approach,n/a,n/a,n/a,Meyer et al. 2021,"Meyer MD, Long JW, Safford HD (2021) Postfire restoration framework for national forests in California (PSW-GTR-270; p. PSW-GTR-270). U.S. Department of Agriculture, Forest Service, Pacific Southwest Research Station. https://doi.org/10.2737/PSW-GTR-270",n/a,"USFS (Pacific Southwest Research Station) (Meyer, M.D.; Long, J.W.; Safford, H.D., eds.)","Develop landscape-scale post-fire (and related) restoration plans, based on a science-based process. Inform monitoring. Predict post-fire conifer regeneration at landscape scale.","Regarding the case studies, expand the variety of example ecosystems (e.g., moist mixed conifer forest type)",n/a,n/a,n/a,n/a,n/a
50,RAD Framework,Resist-Accept-Direct (RAD) Framework,https://www.usgs.gov/programs/climate-adaptation-science-centers/science/resist-accept-direct-rad-framework,A decision-making tool that helps resource managers make informed strategies for responding to ecological changes resulting from climate change. ,Not specified,"Project, Fireshed, Region",No,Restore & Adapt,All,Framework / Strategy / Approach,n/a,n/a,n/a,www,https://www.usgs.gov/programs/climate-adaptation-science-centers/science/resist-accept-direct-rad-framework,n/a,"Gregor Schuurman (NPS), David Cole (USFS), Amanda Cravens (USGS), and many others, including individuals associated with the Federal Navigating Ecological Transformation (FedNET) working group, The American Fisheries Society, and The Wildlife Society’s Ecosystem Transformation working group","Guides managers in selecting strategies to resist, accept, or direct ecosystem change under climate change. Could be used to support restoration, invasive species management, and wildfire adaptation.",,"Lynch, A. J., Ashander, J. D., Ciocco, T. W., Cravens, A. E., Dassow, C. J., Dee, L. E., Dunham, J. B., Eaton, M. J., Embke, H. S., Hennessy, J., Latzka, A. W., Lawrence, D. J., Littell, J. S., Miller, B. W., Palasti, L. A., Runge, M. C., Sass, G. G., Shultz, A. D., Siegel, K. J., … Yocum, H. M. (2025). RAD (Resist-Accept-Direct) switch points and triggers for adaptation planning. Journal of Environmental Management, 392, 126419. https://doi.org/10.1016/j.jenvman.2025.126419","Sesser, A. L, Wilkening, J. L, Miles, W. B., Guilbeau, K., Lynch, A. J., Conrad, J. R., & Magness, D. R. (2025). Integrating the resist–accept–direct framework into natural resource decision-making processes for climate adaptation. Conservation Biology, 39, e70116. https://doi.org/10.1111/cobi.70116","Cravens, A. E., Clifford, K. R., Knapp, C., & Travis, W. R. (2025). The dynamic feasibility of resisting (R), accepting (A), or directing (D) ecological change. Conservation Biology, 39, e14331. https://doi.org/10.1111/cobi.14331","Ward, N.K., Lynch, A.J., Beever, E.A. et al. Reimagining large river management using the Resist–Accept–Direct (RAD) framework in the Upper Mississippi River. Ecol Process 12, 48 (2023). https://doi.org/10.1186/s13717-023-00460-x",n/a
51,RAVG,Rapid Assessment of Vegetation Conditions after Wildfire (RAVG),https://data.fs.usda.gov/geodata/rastergateway/ravg/index.php,"Rapid assessment of vegetation conditions post-fire using Landsat imagery to calculate change in Relative differenced normalized burn ratio (RdNBR) for fires that burned at least 1,000 acres of national forest land.",U.S. (national forest lands),Region,No,Emrg Stablz,Assess / Plan,Measurement,n/a,n/a,n/a,www,https://data.fs.usda.gov/geodata/rastergateway/ravg/index.php,n/a,"USFS, US Dept. of Interior, USGS",Identify areas where active land management may be needed to rehabilitate vegetation conditions to a desirable state.,,n/a,n/a,n/a,n/a,n/a
52,RegenMapper,RegenMapper,https://research.fs.usda.gov/treesearch/64703,"A web-based decision support system was developed (DSS) to provide spatial information on potential for natural regeneration in post-disturbance environments. Users can select burn severity information using 1-year postfire data (Monitoring Trends in Burn Severity), or for recent disturbance events using either Rapid Assessment of Vegetation Condition After Wildfire or Soil Burn Severity Layers. ",western U.S.,Project,No,Rehab,Plan,Analyze & Prioritize,n/a,n/a,n/a,Holden et al. 2022,"Holden ZA, Warren D, Davis K, Jungck E, Maneta M, Dobrowski S, Archer V (2022) REGEN MAPPER: A web-based tool for predicting postfire conifer regeneration and prioritizing reforestation efforts in the western United States. In: Jain TB, Schuler TM [comp.]. Foundational concepts in silviculture with emphasis on reforestation and early stand improvement - 2022 National Silviculture Workshop. Proc. RMRS-P-80. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 2 p.",https://orthanc.dbs.umt.edu/regenmapper,"Holden, Z.A., et al.",The RegenMapper tool provides a means for forest managers to assess and prioritize sites for planting following high severity wildfire or other disturbance.,Add in burn severity rasters from GEE so user does not have to upload.,"Holden ZA, Jungck E, Davis KT, Warren DA, Swanson A, Dobrowski SZ, Maneta M, Rodman KC, Faller L, Archer V. A post-fire reforestation assessment and prioritization tool for the Western United States. Fire Ecol. 2025;21(1):83. doi: 10.1186/s42408-025-00405-z. Epub 2025 Dec 11. PMID: 41395376; PMCID: PMC12698830.",n/a,n/a,n/a,n/a
53,RoadTRT,Post-Fire Road Treatment Tools,https://forest.moscowfsl.wsu.edu/BAERTOOLS/ROADTRT/,A synthesis of post-fire road treatment information based on expert information and interviews of BAER team engineers,U.S.,"Project, Fireshed",No,Emrg Stablz,Assess / Plan,Analyze & Prioritize,n/a,n/a,n/a,Foltz et al. 2009,"Foltz, R.B.; Robichaud, P.R.; Rhee, H. 2009. A synthesis of post-fire road treatments for BAER teams: methods, treatment effectiveness, and decisionmaking tools for rehabilitation. Gen. Tech. Rep. RMRS-GTR-228. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 152 p.",n/a,"USFS RMRS , Foltz et al. 2009",Develop post-fire road treatments ,,n/a,n/a,n/a,n/a,n/a
54,Sagebrush-resistance,Potential Ecosystem Resilience and Resistance in Sagebrush Habitat,https://gis.blm.gov/arcgis/rest/services/vegetation/BLM_FIAT_Potntl_EcoSys_Rslnce_Rstnce_in_Sgbrsh_Habitat_2015/MapServer/0,GIS Raster Layer: Resistance & resilience in sagebrush.,Great Basin region,Fireshed,No,Restore & Adapt,Plan,Analyze & Prioritize,n/a,n/a,n/a,www,https://gis.blm.gov/arcgis/rest/services/vegetation/BLM_FIAT_Potntl_EcoSys_Rslnce_Rstnce_in_Sgbrsh_Habitat_2015/MapServer/0,n/a,"BLM, Fire and Invasive Assessment Tool (FIAT)","Provides resilience and resistance maps, can help prioritize fuel treatments, invasive species control, and sagebrush restoration to reduce wildfire risk and support sage-grouse habitat conservation.",,n/a,n/a,n/a,n/a,n/a
55,SBSDT,Soil Burn Severity Data Tool,https://www.fs.usda.gov/rm/pubs/rmrs_gtr243.pdf,Assists BAER (burn area emergency response) teams assess post-fire watershed conditions by providing insights regarding how to categorize soil burn severity using soil condition indicators.,U.S (mostly western U.S.),Fireshed,No,Emrg Stablz,Assess / Plan,Analyze & Prioritize,Emrg Stablz,Assess / Plan,Measurement,Parsons et al. 2010,"Parsons A, Robichaud PR, Lewis SA, Napper C, Clark JT (2010) Field guide for Mapping Port-Fire Soil Burn Severity. Gen. Tech. Rep. RMRS-GTR-243. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 49 p.",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2618c7a5669c8212517018673eb00a5c777130e8,"Annette Parsons, Peter Robichaud, Sarah Lewis, Carolyn Napper, Jess Clark; USDA RMRS",Identify areas where soil burn severity indicates high severity burn as potential locations that will require active management projects to facilitate post-fire recovery.,Highlight tool through more outlets to make it easier for individuals outside of federal agencies to find,n/a,n/a,n/a,n/a,n/a
56,Scenarios-AdaptMgmt-Guide,Scenarios as a tool for adaptive forest management: A guide. ,https://www.cifor.org/publications/pdf_files/Books/scenarios.pdf,A guide that presents the principles and methods of scenario-based management. It describes how scenarios can be used in adaptive forest management and defines and exhibits the utility of considering alternative scenarios in management.,"Global, but focussed on tropical forest communities",Project,No,Restore & Adapt,Plan,Catalogue / Library,Restore & Adapt,Plan,Predict / Project / Scenario,Wollenburg et al. 2000,"Wollenburg E, Edmunds D, Buck L (2000) Scenarios as a tool for adaptive forest management: A guide. Center for International Forestry Research. ",n/a,Eva Wollenberg with David Edmunds and Louise Buck; Center for International Forestry Research ,"Used to support adaptive forest management through scenario planning, collaborative decision-making, risk assessment, monitoring priorizitation, and preparation for future environmental and social change.",,n/a,n/a,n/a,n/a,n/a
57,Seed Zone WebMap,Seed Zone WebMap,https://research.fs.usda.gov/pnw/products/dataandtools/seed-zone-webmap,"Get data on seed zones for use in plant material development, gene conservation and native plant restoration activities.",Continental U.S.,Project,No,Restore & Adapt,Plan,Information: Database & Mapping,n/a,n/a,n/a,www,https://usfs.maps.arcgis.com/apps/webappviewer/index.html?id=229eb45b7cc2456db6d1ad866145d397,https://usfs.maps.arcgis.com/apps/webappviewer/index.html?id=229eb45b7cc2456db6d1ad866145d397,Western Wildlands Environmental Threats Assessment Center (WWETAC),Allows user to match climate conditions for two areas to select best available seed source.,"Currently, focused on SW US and non-arboreal vegetation types (shrubs, forbs, grasses)",n/a,n/a,n/a,n/a,n/a
58,SPHT ,Species Potential Habitat Tool,https://specieshabitattool.org/spht/,"Pairs with Seedlot Selection Tool, but allows users to look at how habitat suitability will change with climate change.",North America,"Stand, Project",No,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,www,https://specieshabitattool.org/spht/,n/a,"Glenn Howe (Oregon State University), Brad St. Clair (USFS, Pacific Northwest Research Station), Ron Beloin (Oregon State University), Dominique Bachelet (Conservation Biology Institute), Nikolas Stevenson-Molnar (Conservation Biology Institute), Brendan Ward (Conservation Biology Institute)","Used to help forest managers identify species and vegetation types suitable for specific sites under different climate change scenarios, and to support the transition toward forest compositions that are better adapted to future climatic conditions.",,n/a,n/a,n/a,n/a,n/a
59,SRRT,Southern Rockies Reforestation Tool (SRRT),https://doi.org/10.2737/RMRS-RN-95,Web-based tool that identifies climatically and topographically suitable sites to plant ponderosa pine and Douglas-fir seedlings after wildfire.,"North America, species: PICO, PSME, PIPO, PIEN, LAOC, PIMO, PISI",Project,No,Restore & Adapt,Plan,Analyze & Prioritize,n/a,n/a,n/a,Rodman et al. 2022,"Rodman K, Fornwalt P, Chapman T, Coop J, Edwards G, Stevens J, Veblen T (2022) SRRT: A Decision Support Tool to Inform Postfire Reforestation of Ponderosa Pine and Douglas-fir in the Southern Rocky Mountains. Res. Note RMRS-RN-95. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 12 p. https://doi. org/10.2737/RMRS-RN-95",n/a,"Kyle Rodman (Ecological Restoration Institute), Paula Fornwalt (Rocky Mountain Research Station), Teresa Chapman (The Nature Conservancy), Jonathan Coop (Western Colorado University), Gloria Edwards (Southern Rockies Fire Science Network), Jens Stevens (USFS), Thomas Veblen (University of Colorado Boulder)",Identifies the best tree species to plant based on future climate conditions. Prioritizes areas for post-fire planting that minimize costs (near roads) and increase the chance for seedling survival based on future climate.,"Integrate more tree species, seed lots, and larger geographic area",n/a,n/a,n/a,n/a,n/a
60,SST,Seedlot Selection Tool,https://seedlotselectiontool.org/sst/,Web-based mapping application that matches seedlots to current and future climate conditions at planting sites.,North America forests,"Stand, Project",No,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,www,https://seedlotselectiontool.org/sst/,n/a,"Glenn Howe (OSU), Brad St.Clair (USFS), Nikolas Stevenson-Molnars and others (Conservation Biology Institute )",Identify an appropriate seedlot for a planting site based on future climate conditions. Adapt forest at planting site to projected future climate conditions (multiple scenarios).,"Finer spatial resolution DEM (30m?). Rather than individual species, maybe it could Recommendgroups of species",n/a,n/a,n/a,n/a,n/a
61,Success Stories,"Success Stories, Forests and Rangelands (Fire Adapted Communities Case Studies)",https://forestsandrangelands.gov/success/index.shtml,"Filterable list of success stories. Forests and Rangelands highlights land management effort successes and project information including wildland fire fighting, landscape restoration and rehabilitation, fuels reduction, community assistance, and related land management activities.","U.S., searchable by state",Project,Yes,Restore & Adapt,All,Knowledge Share ,n/a,n/a,n/a,www,https://forestsandrangelands.gov/success/index.shtml,n/a,Various federal agencies and partners. ,Inform management decisions based on successes elsewhere.,,n/a,n/a,n/a,n/a,n/a
62,Survey 1-2-3,ArcGIS Survey 1-2-3,https://survey123.arcgis.com/,A software to create and analyze survey results with easy implementation for maps into surveys.,Global,"Stand, Project, Fireshed",No,Restore & Adapt,Engage,Engagement - Data Tools,n/a,n/a,n/a,www,"https://www.esri.com, ESRI ArcGIS Survey123 (Version 3.25.32) [Software]. ",n/a,ESRI,"A platform for standardized, georeferenced field data collection that can be used to document management actions and track restoration progress.",,n/a,n/a,n/a,n/a,n/a
63,TACCIMO,Template for Assessing Climate Change Impacts and Management Options (TACCIMO) ,https://manzanita.forestry.oregonstate.edu/taccimo/tbl_sector_list.php,Connects climate change science with forest management and planning needs.,U.S.,"Project, Fireshed",Yes,Restore & Adapt,Plan,Information: Database & Mapping,n/a,n/a,n/a,www,https://manzanita.forestry.oregonstate.edu/taccimo/tbl_sector_list.php,https://research.fs.usda.gov/srs/products/dataandtools/template-assessing-climate-change-impacts-and-management-options-taccimo,"USDA, USFS","Used to support forest planning and management by providing access to climate change impacts literature and management options, helping assess climate risks, identifying adaptation strategies, and generating reports to aid forest planning and management analysis.",,n/a,n/a,n/a,n/a,n/a
64,TCA,"Terrestrial Condition Assessment 
(Only available in the USFS)",https://www.fs.usda.gov/treesearch/pubs/55800,Evaluate landscapes to indentify stressors and opportunities for restoration.,Continental U.S.,"Project, Fireshed",No,Restore & Adapt,Plan,Analyze & Prioritize,n/a,n/a,n/a,Cleland et al. 2017,"Cleland D, Reynolds K, Vaughan R, Schrader B, Li H, Laing L (2017) Terrestrial condition assessment for national forests of the USDA Forest Service in the continental US. Sustainability. 9(12): 2144-. https://doi.org/10.3390/su9112144",n/a,USFS,"Used to evaluate ecological integrity and disturbance impacts across national forest landscapes, identify priority land-type associations for restoration, and support strategic and tactical planning by synthesizing multiple national datasets.",,n/a,n/a,n/a,n/a,n/a
